session_date,market_open_utc,market_close_utc,expected_cash_minutes,expected_five_minute_bars
2023-01-03,2023-01-03T14:30:00+0000,2023-01-03T21:00:00+0000,390,78
2023-01-04,2023-01-04T14:30:00+0000,2023-01-04T21:00:00+0000,390,78
2023-01-05,2023-01-05T14:30:00+0000,2023-01-05T21:00:00+0000,390,78
2023-01-06,2023-01-06T14:30:00+0000,2023-01-06T21:00:00+0000,390,78
2023-01-09,2023-01-09T14:30:00+0000,2023-01-09T21:00:00+0000,390,78
2023-01-10,2023-01-10T14:30:00+0000,2023-01-10T21:00:00+0000,390,78
2023-01-11,2023-01-11T14:30:00+0000,2023-01-11T21:00:00+0000,390,78
2023-01-12,2023-01-12T14:30:00+0000,2023-01-12T21:00:00+0000,390,78
2023-01-13,2023-01-13T14:30:00+0000,2023-01-13T21:00:00+0000,390,78
2023-01-17,2023-01-17T14:30:00+0000,2023-01-17T21:00:00+0000,390,78
2023-01-18,2023-01-18T14:30:00+0000,2023-01-18T21:00:00+0000,390,78
2023-01-19,2023-01-19T14:30:00+0000,2023-01-19T21:00:00+0000,390,78
2023-01-20,2023-01-20T14:30:00+0000,2023-01-20T21:00:00+0000,390,78
2023-01-23,2023-01-23T14:30:00+0000,2023-01-23T21:00:00+0000,390,78
2023-01-24,2023-01-24T14:30:00+0000,2023-01-24T21:00:00+0000,390,78
2023-01-25,2023-01-25T14:30:00+0000,2023-01-25T21:00:00+0000,390,78
2023-01-26,2023-01-26T14:30:00+0000,2023-01-26T21:00:00+0000,390,78
2023-01-27,2023-01-27T14:30:00+0000,2023-01-27T21:00:00+0000,390,78
2023-01-30,2023-01-30T14:30:00+0000,2023-01-30T21:00:00+0000,390,78
2023-01-31,2023-01-31T14:30:00+0000,2023-01-31T21:00:00+0000,390,78
2023-02-01,2023-02-01T14:30:00+0000,2023-02-01T21:00:00+0000,390,78
2023-02-02,2023-02-02T14:30:00+0000,2023-02-02T21:00:00+0000,390,78
2023-02-03,2023-02-03T14:30:00+0000,2023-02-03T21:00:00+0000,390,78
2023-02-06,2023-02-06T14:30:00+0000,2023-02-06T21:00:00+0000,390,78
2023-02-07,2023-02-07T14:30:00+0000,2023-02-07T21:00:00+0000,390,78
2023-02-08,2023-02-08T14:30:00+0000,2023-02-08T21:00:00+0000,390,78
2023-02-09,2023-02-09T14:30:00+0000,2023-02-09T21:00:00+0000,390,78
2023-02-10,2023-02-10T14:30:00+0000,2023-02-10T21:00:00+0000,390,78
2023-02-13,2023-02-13T14:30:00+0000,2023-02-13T21:00:00+0000,390,78
2023-02-14,2023-02-14T14:30:00+0000,2023-02-14T21:00:00+0000,390,78
2023-02-15,2023-02-15T14:30:00+0000,2023-02-15T21:00:00+0000,390,78
2023-02-16,2023-02-16T14:30:00+0000,2023-02-16T21:00:00+0000,390,78
2023-02-17,2023-02-17T14:30:00+0000,2023-02-17T21:00:00+0000,390,78
2023-02-21,2023-02-21T14:30:00+0000,2023-02-21T21:00:00+0000,390,78
2023-02-22,2023-02-22T14:30:00+0000,2023-02-22T21:00:00+0000,390,78
2023-02-23,2023-02-23T14:30:00+0000,2023-02-23T21:00:00+0000,390,78
2023-02-24,2023-02-24T14:30:00+0000,2023-02-24T21:00:00+0000,390,78
2023-02-27,2023-02-27T14:30:00+0000,2023-02-27T21:00:00+0000,390,78
2023-02-28,2023-02-28T14:30:00+0000,2023-02-28T21:00:00+0000,390,78
2023-03-01,2023-03-01T14:30:00+0000,2023-03-01T21:00:00+0000,390,78
2023-03-02,2023-03-02T14:30:00+0000,2023-03-02T21:00:00+0000,390,78
2023-03-03,2023-03-03T14:30:00+0000,2023-03-03T21:00:00+0000,390,78
2023-03-06,2023-03-06T14:30:00+0000,2023-03-06T21:00:00+0000,390,78
2023-03-07,2023-03-07T14:30:00+0000,2023-03-07T21:00:00+0000,390,78
2023-03-08,2023-03-08T14:30:00+0000,2023-03-08T21:00:00+0000,390,78
2023-03-09,2023-03-09T14:30:00+0000,2023-03-09T21:00:00+0000,390,78
2023-03-10,2023-03-10T14:30:00+0000,2023-03-10T21:00:00+0000,390,78
2023-03-13,2023-03-13T13:30:00+0000,2023-03-13T20:00:00+0000,390,78
2023-03-14,2023-03-14T13:30:00+0000,2023-03-14T20:00:00+0000,390,78
2023-03-15,2023-03-15T13:30:00+0000,2023-03-15T20:00:00+0000,390,78
2023-03-16,2023-03-16T13:30:00+0000,2023-03-16T20:00:00+0000,390,78
2023-03-17,2023-03-17T13:30:00+0000,2023-03-17T20:00:00+0000,390,78
2023-03-20,2023-03-20T13:30:00+0000,2023-03-20T20:00:00+0000,390,78
2023-03-21,2023-03-21T13:30:00+0000,2023-03-21T20:00:00+0000,390,78
2023-03-22,2023-03-22T13:30:00+0000,2023-03-22T20:00:00+0000,390,78
2023-03-23,2023-03-23T13:30:00+0000,2023-03-23T20:00:00+0000,390,78
2023-03-24,2023-03-24T13:30:00+0000,2023-03-24T20:00:00+0000,390,78
2023-03-27,2023-03-27T13:30:00+0000,2023-03-27T20:00:00+0000,390,78
2023-03-28,2023-03-28T13:30:00+0000,2023-03-28T20:00:00+0000,390,78
2023-03-29,2023-03-29T13:30:00+0000,2023-03-29T20:00:00+0000,390,78
2023-03-30,2023-03-30T13:30:00+0000,2023-03-30T20:00:00+0000,390,78
2023-03-31,2023-03-31T13:30:00+0000,2023-03-31T20:00:00+0000,390,78
2023-04-03,2023-04-03T13:30:00+0000,2023-04-03T20:00:00+0000,390,78
2023-04-04,2023-04-04T13:30:00+0000,2023-04-04T20:00:00+0000,390,78
2023-04-05,2023-04-05T13:30:00+0000,2023-04-05T20:00:00+0000,390,78
2023-04-06,2023-04-06T13:30:00+0000,2023-04-06T20:00:00+0000,390,78
2023-04-10,2023-04-10T13:30:00+0000,2023-04-10T20:00:00+0000,390,78
2023-04-11,2023-04-11T13:30:00+0000,2023-04-11T20:00:00+0000,390,78
2023-04-12,2023-04-12T13:30:00+0000,2023-04-12T20:00:00+0000,390,78
2023-04-13,2023-04-13T13:30:00+0000,2023-04-13T20:00:00+0000,390,78
