sequence,session_date,previous_session_date,explicit_contract_symbol,previous_window_start_new_york,previous_window_end_new_york,current_window_start_new_york,current_window_end_new_york,previous_export_path,current_export_path,final_relative_path,source,resolution,timestamp_timezone,required_columns,pretrimmed_to_allowed_windows
1,2020-01-22,2020-01-21,NQH20,2020-01-21 09:30:00,2020-01-21 15:59:00,2020-01-22 09:30:00,2020-01-22 09:35:00,data/EXP-025/quantower_export_staging/01_2020-01-22_NQH20_previous.csv,data/EXP-025/quantower_export_staging/01_2020-01-22_NQH20_current.csv,raw/01_2020-01-22_NQH20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
2,2020-01-27,2020-01-24,NQH20,2020-01-24 09:30:00,2020-01-24 15:59:00,2020-01-27 09:30:00,2020-01-27 09:35:00,data/EXP-025/quantower_export_staging/02_2020-01-27_NQH20_previous.csv,data/EXP-025/quantower_export_staging/02_2020-01-27_NQH20_current.csv,raw/02_2020-01-27_NQH20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
3,2020-06-16,2020-06-15,NQU20,2020-06-15 09:30:00,2020-06-15 15:59:00,2020-06-16 09:30:00,2020-06-16 09:35:00,data/EXP-025/quantower_export_staging/03_2020-06-16_NQU20_previous.csv,data/EXP-025/quantower_export_staging/03_2020-06-16_NQU20_current.csv,raw/03_2020-06-16_NQU20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
4,2020-08-05,2020-08-04,NQU20,2020-08-04 09:30:00,2020-08-04 15:59:00,2020-08-05 09:30:00,2020-08-05 09:35:00,data/EXP-025/quantower_export_staging/04_2020-08-05_NQU20_previous.csv,data/EXP-025/quantower_export_staging/04_2020-08-05_NQU20_current.csv,raw/04_2020-08-05_NQU20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
5,2020-09-04,2020-09-03,NQU20,2020-09-03 09:30:00,2020-09-03 15:59:00,2020-09-04 09:30:00,2020-09-04 09:35:00,data/EXP-025/quantower_export_staging/05_2020-09-04_NQU20_previous.csv,data/EXP-025/quantower_export_staging/05_2020-09-04_NQU20_current.csv,raw/05_2020-09-04_NQU20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
6,2020-09-16,2020-09-15,NQZ20,2020-09-15 09:30:00,2020-09-15 15:59:00,2020-09-16 09:30:00,2020-09-16 09:35:00,data/EXP-025/quantower_export_staging/06_2020-09-16_NQZ20_previous.csv,data/EXP-025/quantower_export_staging/06_2020-09-16_NQZ20_current.csv,raw/06_2020-09-16_NQZ20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
7,2020-10-29,2020-10-28,NQZ20,2020-10-28 09:30:00,2020-10-28 15:59:00,2020-10-29 09:30:00,2020-10-29 09:35:00,data/EXP-025/quantower_export_staging/07_2020-10-29_NQZ20_previous.csv,data/EXP-025/quantower_export_staging/07_2020-10-29_NQZ20_current.csv,raw/07_2020-10-29_NQZ20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
8,2020-11-05,2020-11-04,NQZ20,2020-11-04 09:30:00,2020-11-04 15:59:00,2020-11-05 09:30:00,2020-11-05 09:35:00,data/EXP-025/quantower_export_staging/08_2020-11-05_NQZ20_previous.csv,data/EXP-025/quantower_export_staging/08_2020-11-05_NQZ20_current.csv,raw/08_2020-11-05_NQZ20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
9,2020-11-10,2020-11-09,NQZ20,2020-11-09 09:30:00,2020-11-09 15:59:00,2020-11-10 09:30:00,2020-11-10 09:35:00,data/EXP-025/quantower_export_staging/09_2020-11-10_NQZ20_previous.csv,data/EXP-025/quantower_export_staging/09_2020-11-10_NQZ20_current.csv,raw/09_2020-11-10_NQZ20.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
10,2021-01-28,2021-01-27,NQH21,2021-01-27 09:30:00,2021-01-27 15:59:00,2021-01-28 09:30:00,2021-01-28 09:35:00,data/EXP-025/quantower_export_staging/10_2021-01-28_NQH21_previous.csv,data/EXP-025/quantower_export_staging/10_2021-01-28_NQH21_current.csv,raw/10_2021-01-28_NQH21.csv,Lucid/Rithmic via Quantower History Exporter,1 minute,America/New_York,timestamp|open|high|low|close|volume|explicit_contract_symbol,true
