candidate_id,family_id,symbol,completed_trades,long_trades,short_trades,gross_profit_usd,gross_loss_usd,net_profit_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,round_trip_cost_usd,average_trade_to_round_trip_cost,context_value_name,feature_eligible_sessions,feature_eligible_rate,signal_confirmed_sessions,signal_confirmation_rate,context_value_mean,context_value_median,context_long_trades,context_short_trades,mnq_completed_trades,mnq_profit_factor,mnq_net_profit_usd,zero_tick_net_profit_usd,two_tick_net_profit_usd,cost_resilience_ratio,trading_years,profitable_years,profitable_year_fraction,observed_months,profitable_months,profitable_month_fraction,best_year_profit_contribution,top_5_trade_profit_contribution,longest_drawdown_duration_trades,longest_recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result_usd,worst_50_trade_result_usd,worst_100_trade_result_usd,trades_per_year,session_participation_rate,average_holding_minutes,median_holding_minutes,low_sample,concentrated_activity,cost_fragile,mnq_divergence,reliability_flag_count,research_status,pareto_nondominated,domination_count
gap_continuation_0p25_time,gap_continuation,NQ,316,196,120,247250.0,-198770.0,48480.0,1.2438999849071792,0.2563291139240506,153.41772151898735,-605.0,3052.4691358024693,-845.8297872340426,3.608845635224532,-23810.0,0.2381,2.0361192776144477,15.0,10.227848101265824,gap_fraction,685,0.5146506386175808,316,0.46131386861313867,0.6445920010299354,0.5068493150684932,196,120,316,1.21479725391416,4349.0,51640.0,45320.0,0.8776142525174283,6,4,0.6666666666666666,70,38,0.5428571428571428,0.8383869636963697,0.7956889438943895,65,43,19,-20985.0,-17655.0,-4790.0,52.666666666666664,0.23741547708489857,128.1012658227848,25.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,5
gap_continuation_0p25_1p5r,gap_continuation,NQ,316,196,120,166810.0,-161550.0,5260.0,1.032559579077685,0.41455696202531644,16.645569620253166,-422.5,1273.3587786259543,-873.2432432432432,1.4581948254150514,-16595.0,0.16595,0.31696294064477254,15.0,1.1097046413502112,gap_fraction,685,0.5146506386175808,316,0.46131386861313867,0.6445920010299354,0.5068493150684932,196,120,316,0.9713163889221916,-478.5,8420.0,2100.0,0.2494061757719715,6,3,0.5,70,34,0.4857142857142857,3.173954372623574,3.196768060836502,217,34,8,-14547.5,-14265.0,-11455.0,52.666666666666664,0.23741547708489857,28.97151898734177,11.0,False,False,False,True,1,MEASURED_NOT_VALIDATED,False,4
gap_continuation_0p50_time,gap_continuation,NQ,167,98,69,128270.0,-104445.0,23825.0,1.228110488773996,0.2754491017964072,142.66467065868264,-565.0,2788.478260869565,-863.1818181818181,3.230464546557685,-18120.0,0.1812,1.3148454746136866,15.0,9.510978043912177,gap_fraction,353,0.26521412471825695,167,0.4730878186968839,0.9041157003681205,0.737885462555066,98,69,163,1.2394831438841931,2465.0,25495.0,22155.0,0.8689939203765444,6,3,0.5,65,27,0.4153846153846154,1.113536201469045,1.2491080797481637,72,58,12,-11400.0,-5595.0,840.0,27.833333333333332,0.12546957175056347,132.39520958083833,25.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,4
gap_continuation_0p50_1p5r,gap_continuation,NQ,167,98,69,94372.5,-81955.0,12417.5,1.1515160758953085,0.4550898203592814,74.3562874251497,-365.0,1241.7434210526317,-900.6043956043956,1.3787889856114879,-10520.0,0.1052,1.18037072243346,15.0,4.957085828343313,gap_fraction,353,0.26521412471825695,167,0.4730878186968839,0.9041157003681205,0.737885462555066,98,69,163,1.1239400270369915,1008.5,14087.5,10747.5,0.7629103815439219,6,2,0.3333333333333333,65,34,0.5230769230769231,1.273807127038454,1.0871753573585665,63,17,8,-7030.0,-6957.5,-3962.5,27.833333333333332,0.12546957175056347,25.077844311377245,9.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,2
gap_fade_0p25_prior_close,gap_fade,NQ,363,161,202,212890.0,-177780.0,35110.0,1.197491281358983,0.3884297520661157,96.72176308539945,-450.0,1509.8581560283687,-800.8108108108108,1.8854118046928667,-12500.0,0.125,2.8088,15.0,6.448117539026629,gap_fraction,685,0.5146506386175808,363,0.5299270072992701,0.6445920010299354,0.5068493150684932,161,202,362,1.1605700055340342,2901.5,38740.0,31480.0,0.8125967991739804,6,5,0.8333333333333334,72,40,0.5555555555555556,0.325690686414127,0.867559099971518,162,42,12,-8705.0,-10320.0,-10430.0,60.5,0.2727272727272727,52.900826446280995,16.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,1
gap_fade_0p25_1r,gap_fade,NQ,368,164,204,161215.0,-146965.0,14250.0,1.0969618616677441,0.529891304347826,38.72282608695652,327.5,826.7435897435897,-849.5086705202312,0.9732020618898446,-10145.0,0.10145,1.4046328240512567,15.0,2.581521739130435,gap_fraction,685,0.5146506386175808,368,0.5372262773722628,0.6445920010299354,0.5068493150684932,164,204,367,1.045918197827026,691.0,17930.0,10570.0,0.5895147796988288,6,5,0.8333333333333334,72,37,0.5138888888888888,0.5375438596491228,0.9571929824561404,239,117,6,-6545.0,-6740.0,-6685.0,61.333333333333336,0.2764838467317806,23.141304347826086,8.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,1
gap_fade_0p50_prior_close,gap_fade,NQ,186,84,102,150310.0,-98000.0,52310.0,1.5337755102040815,0.3655913978494624,281.23655913978496,-480.0,2210.4411764705883,-830.5084745762712,2.6615516206482592,-10220.0,0.1022,5.11839530332681,15.0,18.74910394265233,gap_fraction,353,0.26521412471825695,186,0.5269121813031161,0.9041157003681205,0.737885462555066,84,102,189,1.4912749023678877,4969.0,54170.0,50450.0,0.9313273029352039,6,6,1.0,67,37,0.5522388059701493,0.3060600267635251,0.5822978398011852,63,12,9,-7330.0,-8040.0,12740.0,31.0,0.13974455296769348,85.70967741935483,28.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,True,0
gap_fade_0p50_1r,gap_fade,NQ,186,84,102,100375.0,-65565.0,34810.0,1.530923511019599,0.5967741935483871,187.1505376344086,472.5,904.2792792792793,-874.2,1.034407777715945,-5080.0,0.0508,6.852362204724409,15.0,12.476702508960575,gap_fraction,353,0.26521412471825695,186,0.5269121813031161,0.9041157003681205,0.737885462555066,84,102,189,1.4843807695148068,3279.5,36670.0,32950.0,0.8985546768475593,6,6,1.0,67,41,0.6119402985074627,0.2993392703246194,0.38724504452743463,29,21,6,-4160.0,785.0,12565.0,31.0,0.13974455296769348,28.258064516129032,10.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,True,0
overnight_continuation_0p50_time,overnight_momentum_continuation,NQ,284,167,117,218465.0,-176420.0,42045.0,1.2383233193515475,0.2605633802816901,148.04577464788733,-537.5,2952.2297297297296,-840.0952380952381,3.5141607711327696,-22325.0,0.22325,1.8833146696528555,15.0,9.869718309859156,overnight_drive_fraction,577,0.43350864012021034,284,0.49220103986135183,0.7050405513471028,0.6991525423728814,167,117,286,1.2646688843541218,4734.0,44885.0,39205.0,0.8734543834243066,6,3,0.5,70,32,0.45714285714285713,0.6024497562135807,0.9235343084790106,46,13,17,-20215.0,-15395.0,-1495.0,47.333333333333336,0.21337340345604808,135.1161971830986,30.5,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,5
overnight_continuation_0p50_1p5r,overnight_momentum_continuation,NQ,284,167,117,145945.0,-142535.0,3410.0,1.0239239485038762,0.43309859154929575,12.007042253521126,-380.0,1186.5447154471544,-885.3105590062112,1.3402581764969437,-15857.5,0.158575,0.21504020179725683,15.0,0.8004694835680751,overnight_drive_fraction,577,0.43350864012021034,284,0.49220103986135183,0.7050405513471028,0.6991525423728814,167,117,286,0.9443215339233039,-830.5,6250.0,570.0,0.0912,6,3,0.5,70,33,0.4714285714285714,2.2294721407624634,4.295454545454546,88,20,9,-14445.0,-8960.0,-7655.0,47.333333333333336,0.21337340345604808,32.933098591549296,10.0,False,False,False,True,1,MEASURED_NOT_VALIDATED,False,5
