candidate_id,exp027_cohort,primary_confirmation_cohort,family_id,candidate_role,setup_kind,threshold,exit_mode,selectable,opening_range_minutes,direction_mode,last_signal_start_session_minute,forced_flat_session_minute,selection_eligible_in_exp027
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,False,gap_fade,DEVELOPMENT,gap_fade,0.25,prior_cash_close_or_time,True,,both,,1315,False
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,False,gap_fade,DEVELOPMENT,gap_fade,0.25,1r_or_time,True,,both,,1315,False
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,False,gap_fade,DEVELOPMENT,gap_fade,0.5,prior_cash_close_or_time,True,,both,,1315,False
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,False,gap_fade,DEVELOPMENT,gap_fade,0.5,1r_or_time,True,,both,,1315,False
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,False,gap_fade,DEVELOPMENT,gap_fade,0.75,prior_cash_close_or_time,True,,both,,1315,False
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,True,gap_fade,DEVELOPMENT,gap_fade,0.75,1r_or_time,True,,both,,1315,False
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.5,time,True,,both,,1315,False
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.5,1p5r_or_time,True,,both,,1315,False
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.625,time,True,,both,,1315,False
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.625,1p5r_or_time,True,,both,,1315,False
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.75,time,True,,both,,1315,False
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.75,1p5r_or_time,True,,both,,1315,False
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,False,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.875,time,True,,both,,1315,False
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,True,premarket_momentum_continuation,DEVELOPMENT,premarket_continuation,0.875,1p5r_or_time,True,,both,,1315,False
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.25,time,True,,both,,1315,False
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.25,1p5r_or_time,True,,both,,1315,False
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.5,time,True,,both,,1315,False
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.5,1p5r_or_time,True,,both,,1315,False
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,True,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.75,time,True,,both,,1315,False
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,0.75,1p5r_or_time,True,,both,,1315,False
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,1.0,time,True,,both,,1315,False
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,False,opening_drive_continuation,DEVELOPMENT,opening_drive_continuation,1.0,1p5r_or_time,True,,both,,1315,False
orb_control_exp005_15m_both_time,FIXED_CONTROL,False,opening_range_breakout_control,CONTROL,orb_exp005,,15:55_time,False,15.0,both,1075.0,1315,False
orb_control_exp007_30m_long_1r,FIXED_CONTROL,False,opening_range_breakout_control,CONTROL,orb_exp007,,1r_or_14:00_time,False,30.0,long_only,1190.0,1200,False
