candidate_id,slippage_ticks_per_side,round_trip_cost_usd,completed_trades,net_profit_usd,trade_profit_factor,maximum_drawdown_usd,net_profit_to_drawdown
gap_fade_0p25_prior_close,0,5.0,48,-11100.0,0.7875598086124402,-24240.0,-0.45792079207920794
gap_fade_0p25_1r,0,5.0,48,-3575.0,0.9183976261127597,-16000.0,-0.2234375
gap_fade_0p50_prior_close,0,5.0,31,3780.0,1.1196391834150974,-13360.0,0.28293413173652693
gap_fade_0p50_1r,0,5.0,31,5390.0,1.2240232751454696,-9200.0,0.5858695652173913
gap_fade_0p75_prior_close,0,5.0,15,730.0,1.0379615184607385,-9205.0,0.07930472569255839
gap_fade_0p75_1r,0,5.0,15,6390.0,1.546387345019239,-6185.0,1.0331447049312854
premarket_continuation_0p50_time,0,5.0,25,-3830.0,0.8500097904836499,-20450.0,-0.18728606356968217
premarket_continuation_0p50_1p5r,0,5.0,25,-9287.5,0.6362835324065009,-19332.5,-0.48040863830337516
premarket_continuation_0p625_time,0,5.0,18,-6255.0,0.6814362108479756,-17450.0,-0.35845272206303724
premarket_continuation_0p625_1p5r,0,5.0,18,-10302.5,0.47529921059332825,-16077.5,-0.6408023635515472
premarket_continuation_0p75_time,0,5.0,9,-10770.0,0.0,-10770.0,-1.0
premarket_continuation_0p75_1p5r,0,5.0,9,-10770.0,0.0,-10770.0,-1.0
premarket_continuation_0p875_time,0,5.0,0,0.0,,0.0,
premarket_continuation_0p875_1p5r,0,5.0,0,0.0,,0.0,
opening_drive_0p25_time,0,5.0,106,3650.0,1.0234824846398816,-45215.0,0.08072542297909986
opening_drive_0p25_1p5r,0,5.0,106,10187.5,1.0666372318158033,-45407.5,0.22435720971205197
opening_drive_0p50_time,0,5.0,69,-5815.0,0.9465238182821409,-43480.0,-0.13373965041398345
opening_drive_0p50_1p5r,0,5.0,69,2472.5,1.0228322098069997,-46582.5,0.05307787259163849
opening_drive_0p75_time,0,5.0,27,8040.0,1.1944377267230954,-12565.0,0.6398726621567847
