candidate_id,exp027_cohort,episode_number,start_session,trough_session,end_session,maximum_drawdown_usd,maximum_drawdown_percent,duration_sessions,recovered
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,1,2026-01-05,2026-02-05,2026-02-27,-4620.0,-4.62,40,True
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,2,2026-03-06,2026-06-23,2026-07-23,-24490.0,-23.97924214236757,100,False
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,1,2026-01-05,2026-01-05,2026-01-09,-1660.0,-1.66,5,True
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,2,2026-01-14,2026-02-05,2026-02-27,-4735.0,-4.708163468231083,33,True
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,3,2026-03-06,2026-04-22,2026-05-18,-5365.0,-5.106848793489125,52,True
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,4,2026-05-21,2026-06-18,2026-07-23,-16090.0,-15.167797888386122,46,False
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,1,2026-01-14,2026-01-15,2026-02-10,-3405.0,-3.353523415570985,20,True
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,2,2026-02-27,2026-02-27,2026-02-27,-1540.0,-1.4848382586896784,1,True
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,3,2026-03-06,2026-03-23,2026-04-07,-4385.0,-4.158566077101806,23,True
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,4,2026-04-17,2026-06-23,2026-07-23,-13440.0,-12.667891983599604,70,False
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,1,2026-01-14,2026-01-28,2026-02-27,-4745.0,-4.641494668883889,33,True
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,2,2026-03-06,2026-06-18,2026-07-22,-9340.0,-8.932670237184391,99,True
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,1,2026-01-15,2026-01-28,2026-02-10,-1970.0,-1.97,19,True
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,2,2026-03-06,2026-04-02,2026-04-07,-1590.0,-1.5197858917988911,23,True
