candidate_id,exp027_cohort,phase_a_2010_2017_completed_trades,phase_a_2010_2017_net_profit_usd,phase_a_2010_2017_trade_profit_factor,phase_a_2010_2017_maximum_drawdown_usd,phase_a_2010_2017_win_rate,phase_b_2018_2019_completed_trades,phase_b_2018_2019_net_profit_usd,phase_b_2018_2019_trade_profit_factor,phase_b_2018_2019_maximum_drawdown_usd,phase_b_2018_2019_win_rate,phase_c_2020_2025_completed_trades,phase_c_2020_2025_net_profit_usd,phase_c_2020_2025_trade_profit_factor,phase_c_2020_2025_maximum_drawdown_usd,phase_c_2020_2025_win_rate,historical_context_available
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,523,1340.0,1.0297150460139706,-8565.0,0.378585086042065,,,,,,,,,,,True
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,530,4600.0,1.1422607082109169,-1850.0,0.5830188679245283,158.0,-550.0,0.9782694587119716,-5420.0,0.4620253164556962,,,,,,True
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,266,3185.0,1.1185998882889592,-5680.0,0.3157894736842105,,,,,,,,,,,True
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,267,1995.0,1.114065180102916,-2465.0,0.5842696629213483,,,,,,,,,,,True
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,125,920.0,1.0648801128349787,-5765.0,0.264,,,,,,,,,,,True
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,125,2565.0,1.3168622606547251,-1100.0,0.592,48.0,1130.0,1.1330977620730271,-1625.0,0.5,121.0,20540.0,1.4278720966565983,-7425.0,0.5619834710743802,True
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,340,-5660.0,0.8511114033933973,-8715.0,0.2058823529411764,,,,,,,,,,,True
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,340,-2835.0,0.900770038501925,-4712.5,0.4323529411764706,,,,,,,,,,,True
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,205,-6030.0,0.7421975203078238,-8165.0,0.1951219512195122,,,,,,,,,,,True
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,205,-1415.0,0.917251461988304,-5095.0,0.4439024390243902,63.0,232.5,1.0202879581151831,-3255.0,0.3968253968253968,,,,,,True
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,104,-3680.0,0.6890578791719476,-4705.0,0.1923076923076923,,,,,,,,,,,True
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,104,-1320.0,0.8504249291784702,-3192.5,0.4230769230769231,,,,,,,,,,,True
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,32,-515.0,0.8575380359612724,-1780.0,0.25,,,,,,,,,,,True
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,32,970.0,1.4292035398230087,-795.0,0.59375,10.0,492.5,1.2532133676092545,-700.0,0.4,23.0,7795.0,2.1119828815977177,-1940.0,0.6086956521739131,True
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,1448,-12960.0,0.9438304511767,-21590.0,0.3722375690607735,,,,,,,,,,,True
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,1448,-18692.5,0.9139387661141803,-25780.0,0.4226519337016574,,,,,,,,,,,True
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,896,-200.0,0.9986352780620948,-10870.0,0.4151785714285714,,,,,,,,,,,True
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,896,995.0,1.0071198568872988,-7785.0,0.4520089285714285,,,,,,,,,,,True
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,314,7715.0,1.154361744697879,-6500.0,0.4968152866242038,84.0,16360.0,1.634969920434698,-4240.0,0.5119047619047619,277.0,58660.0,1.2277483353716538,-22645.0,0.5054151624548736,True
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,314,9305.0,1.1921726559273027,-6907.5,0.5095541401273885,84.0,13002.5,1.5182343563172578,-4095.0,0.5357142857142857,,,,,,True
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,1,-320.0,0.0,-320.0,0.0,,,,,,,,,,,True
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,1,-320.0,0.0,-320.0,0.0,,,,,,,,,,,True
orb_control_exp005_15m_both_time,FIXED_CONTROL,1843,-44695.0,0.8585847399977852,-50290.0,0.3884970157352143,477.0,1800.0,1.0097927207442468,-18210.0,0.4067085953878406,1471.0,214520.0,1.1630692162385077,-44835.0,0.4500339904826648,True
orb_control_exp007_30m_long_1r,FIXED_CONTROL,1143,-21050.0,0.8430158848534567,-23620.0,0.4829396325459317,304.0,-40.0,0.9994788273615636,-12415.0,0.5131578947368421,909.0,74245.0,1.130312683744482,-26020.0,0.5511551155115512,True
