candidate_id,month,completed_trades,net_profit_usd,trade_profit_factor,maximum_drawdown_usd
gap_fade_0p25_prior_close,2026-01,8,-2070.0,0.6997824510514866,-3530.0
gap_fade_0p25_prior_close,2026-02,5,410.0,1.0854166666666667,-3260.0
gap_fade_0p25_prior_close,2026-03,9,95.0,1.0140117994100295,-6780.0
gap_fade_0p25_prior_close,2026-04,6,-805.0,0.7642752562225475,-2895.0
gap_fade_0p25_prior_close,2026-05,4,-1710.0,0.5746268656716418,-4020.0
gap_fade_0p25_prior_close,2026-06,9,-7420.0,0.5940919037199125,-18280.0
gap_fade_0p25_prior_close,2026-07,7,-80.0,0.9904420549581839,-4305.0
gap_fade_0p25_1r,2026-01,8,-2880.0,0.5823060188542422,-3450.0
gap_fade_0p25_1r,2026-02,5,1225.0,1.2552083333333333,-3260.0
gap_fade_0p25_1r,2026-03,9,3035.0,1.5100840336134453,-5150.0
gap_fade_0p25_1r,2026-04,6,1225.0,1.3587115666178624,-2895.0
gap_fade_0p25_1r,2026-05,4,2635.0,2.4128686327077746,-1865.0
gap_fade_0p25_1r,2026-06,9,-9560.0,0.37311475409836065,-15250.0
gap_fade_0p25_1r,2026-07,7,265.0,1.0448772226926333,-3905.0
gap_fade_0p50_prior_close,2026-01,6,-785.0,0.8500477554918816,-3405.0
gap_fade_0p50_prior_close,2026-02,3,2960.0,2.9220779220779223,-1540.0
gap_fade_0p50_prior_close,2026-03,6,1970.0,1.4492588369441277,-4385.0
gap_fade_0p50_prior_close,2026-04,5,-285.0,0.9015544041450777,-2375.0
gap_fade_0p50_prior_close,2026-05,0,0.0,,0.0
gap_fade_0p50_prior_close,2026-06,6,-345.0,0.9692101740294511,-11205.0
gap_fade_0p50_prior_close,2026-07,5,-45.0,0.9931140015302219,-2470.0
gap_fade_0p50_1r,2026-01,6,-2515.0,0.5195797516714422,-4745.0
gap_fade_0p50_1r,2026-02,3,2510.0,2.6298701298701297,-1540.0
gap_fade_0p50_1r,2026-03,6,1655.0,1.3774230330672748,-4385.0
gap_fade_0p50_1r,2026-04,5,1745.0,1.6027633851468048,-2375.0
gap_fade_0p50_1r,2026-05,0,0.0,,0.0
gap_fade_0p50_1r,2026-06,6,-2485.0,0.6960244648318042,-8175.0
gap_fade_0p50_1r,2026-07,5,4170.0,3.085,-2000.0
gap_fade_0p75_prior_close,2026-01,2,-1970.0,0.0,-1970.0
gap_fade_0p75_prior_close,2026-02,1,3320.0,inf,0.0
gap_fade_0p75_prior_close,2026-03,2,2200.0,3.05607476635514,-1070.0
gap_fade_0p75_prior_close,2026-04,2,1950.0,4.75,-520.0
gap_fade_0p75_prior_close,2026-05,0,0.0,,0.0
gap_fade_0p75_prior_close,2026-06,5,1615.0,1.1746890210924825,-9245.0
gap_fade_0p75_prior_close,2026-07,3,-6535.0,0.0,-6535.0
gap_fade_0p75_1r,2026-01,2,-1970.0,0.0,-1970.0
gap_fade_0p75_1r,2026-02,1,1560.0,inf,0.0
gap_fade_0p75_1r,2026-03,2,3495.0,4.266355140186916,-1070.0
gap_fade_0p75_1r,2026-04,2,1205.0,3.3173076923076925,-520.0
gap_fade_0p75_1r,2026-05,0,0.0,,0.0
gap_fade_0p75_1r,2026-06,5,-525.0,0.915526950925181,-6215.0
gap_fade_0p75_1r,2026-07,3,2475.0,2.2375,-2000.0
premarket_continuation_0p50_time,2026-01,4,3380.0,4.297560975609756,-1025.0
premarket_continuation_0p50_time,2026-02,4,11185.0,6.606516290726817,-1995.0
premarket_continuation_0p50_time,2026-03,3,-4190.0,0.0,-4190.0
premarket_continuation_0p50_time,2026-04,6,-6420.0,0.0,-6420.0
premarket_continuation_0p50_time,2026-05,3,2080.0,2.0558375634517767,-1970.0
premarket_continuation_0p50_time,2026-06,2,-2535.0,0.0,-2535.0
premarket_continuation_0p50_time,2026-07,3,-7580.0,0.0,-7580.0
premarket_continuation_0p50_1p5r,2026-01,4,4735.0,5.619512195121951,-1025.0
premarket_continuation_0p50_1p5r,2026-02,4,3255.0,2.6315789473684212,-1995.0
premarket_continuation_0p50_1p5r,2026-03,3,-4190.0,0.0,-4190.0
premarket_continuation_0p50_1p5r,2026-04,6,-6420.0,0.0,-6420.0
premarket_continuation_0p50_1p5r,2026-05,3,3197.5,2.6230964467005076,-1970.0
premarket_continuation_0p50_1p5r,2026-06,2,-2535.0,0.0,-2535.0
premarket_continuation_0p50_1p5r,2026-07,3,-7580.0,0.0,-7580.0
premarket_continuation_0p625_time,2026-01,2,2145.0,inf,0.0
premarket_continuation_0p625_time,2026-02,3,7025.0,4.521303258145363,-1995.0
premarket_continuation_0p625_time,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p625_time,2026-04,6,-6420.0,0.0,-6420.0
premarket_continuation_0p625_time,2026-05,2,205.0,1.1040609137055837,-1970.0
premarket_continuation_0p625_time,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p625_time,2026-07,2,-5510.0,0.0,-5510.0
premarket_continuation_0p625_1p5r,2026-01,2,3465.0,inf,0.0
premarket_continuation_0p625_1p5r,2026-02,3,285.0,1.1428571428571428,-1995.0
premarket_continuation_0p625_1p5r,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p625_1p5r,2026-04,6,-6420.0,0.0,-6420.0
premarket_continuation_0p625_1p5r,2026-05,2,1577.5,1.8007614213197969,-1970.0
premarket_continuation_0p625_1p5r,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p625_1p5r,2026-07,2,-5510.0,0.0,-5510.0
premarket_continuation_0p75_time,2026-01,0,0.0,,0.0
premarket_continuation_0p75_time,2026-02,1,-685.0,0.0,-685.0
premarket_continuation_0p75_time,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p75_time,2026-04,4,-3655.0,0.0,-3655.0
premarket_continuation_0p75_time,2026-05,0,0.0,,0.0
premarket_continuation_0p75_time,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p75_time,2026-07,1,-2640.0,0.0,-2640.0
premarket_continuation_0p75_1p5r,2026-01,0,0.0,,0.0
premarket_continuation_0p75_1p5r,2026-02,1,-685.0,0.0,-685.0
premarket_continuation_0p75_1p5r,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p75_1p5r,2026-04,4,-3655.0,0.0,-3655.0
premarket_continuation_0p75_1p5r,2026-05,0,0.0,,0.0
premarket_continuation_0p75_1p5r,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p75_1p5r,2026-07,1,-2640.0,0.0,-2640.0
premarket_continuation_0p875_time,2026-01,0,0.0,,0.0
premarket_continuation_0p875_time,2026-02,0,0.0,,0.0
premarket_continuation_0p875_time,2026-03,0,0.0,,0.0
premarket_continuation_0p875_time,2026-04,0,0.0,,0.0
premarket_continuation_0p875_time,2026-05,0,0.0,,0.0
premarket_continuation_0p875_time,2026-06,0,0.0,,0.0
premarket_continuation_0p875_time,2026-07,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-01,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-02,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-03,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-04,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-05,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-06,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-07,0,0.0,,0.0
