candidate_id,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
gap_fade_0p25_prior_close,gap_fade,DEVELOPMENT,ALL_TRADES,48,-11580.0,40980.0,-52560.0,0.7796803652968036,0.3541666666666667,-241.25,-997.5,2410.5882352941176,-1695.483870967742,1.4217700778941713,-24490.0,-24.490000000000002,-0.4728460596161699,33,8,8,-19275.0,,,85.93941176470588,44.375,11.5,-16.083333333333332
gap_fade_0p25_prior_close,gap_fade,DEVELOPMENT,LONG_TRADES,24,-16440.0,12175.0,-28615.0,0.4254761488729687,0.2916666666666667,-685.0,-1067.5,1739.2857142857142,-1683.235294117647,1.0332992186914953,-19070.0,-19.07,-0.8620870477189303,23,2,12,-17500.0,,,42.96970588235294,35.375,9.0,-45.666666666666664
gap_fade_0p25_prior_close,gap_fade,DEVELOPMENT,SHORT_TRADES,24,4860.0,28805.0,-23945.0,1.2029651284192941,0.4166666666666667,202.5,-890.0,2880.5,-1710.357142857143,1.684151179787012,-11635.0,-11.635,0.41770519982810483,7,3,5,-4860.0,,,42.96970588235294,53.375,17.5,13.5
gap_fade_0p25_1r,gap_fade,DEVELOPMENT,ALL_TRADES,48,-4055.0,40025.0,-44080.0,0.908008166969147,0.4375,-84.47916666666667,-807.5,1905.952380952381,-1632.5925925925926,1.1674390718174747,-16090.0,-16.09,-0.25201988812927284,18,9,7,-12290.0,,,85.93941176470588,22.729166666666668,10.0,-5.631944444444445
gap_fade_0p25_1r,gap_fade,DEVELOPMENT,LONG_TRADES,24,-15.0,22590.0,-22605.0,0.9993364299933643,0.4166666666666667,-0.625,-725.0,2259.0,-1614.642857142857,1.39907100199071,-9640.0,-9.64,-0.0015560165975103733,16,2,3,-4015.0,,,42.96970588235294,24.666666666666668,7.5,-0.041666666666666664
gap_fade_0p25_1r,gap_fade,DEVELOPMENT,SHORT_TRADES,24,-4040.0,17435.0,-21475.0,0.8118742724097788,0.4583333333333333,-168.33333333333334,-807.5,1585.0,-1651.923076923077,0.9594877764842841,-11635.0,-11.635,-0.3472281908036098,9,4,5,-7640.0,,,42.96970588235294,20.791666666666668,11.0,-11.222222222222223
gap_fade_0p50_prior_close,gap_fade,DEVELOPMENT,ALL_TRADES,31,3470.0,35265.0,-31795.0,1.1091366567070293,0.3548387096774194,111.93548387096774,-970.0,3205.909090909091,-1589.75,2.01661210310369,-13440.0,-13.44,0.25818452380952384,14,6,5,-7365.0,,,55.50253676470589,46.32258064516129,16.0,7.46236559139785
gap_fade_0p50_prior_close,gap_fade,DEVELOPMENT,LONG_TRADES,14,-7440.0,9145.0,-16585.0,0.5514018691588785,0.2857142857142857,-531.4285714285714,-1067.5,2286.25,-1658.5,1.3785046728971964,-10740.0,-10.74,-0.6927374301675978,9,2,7,,,,25.065661764705883,48.42857142857143,9.0,-35.42857142857143
gap_fade_0p50_prior_close,gap_fade,DEVELOPMENT,SHORT_TRADES,17,10910.0,26120.0,-15210.0,1.7172912557527942,0.4117647058823529,641.7647058823529,-810.0,3731.4285714285716,-1521.0,2.453273222503992,-6795.0,-6.795,1.6055923473142015,5,1,2,,,,30.436875,44.588235294117645,18.0,42.78431372549019
gap_fade_0p50_1r,gap_fade,DEVELOPMENT,ALL_TRADES,31,5080.0,29310.0,-24230.0,1.2096574494428394,0.45161290322580644,163.8709677419355,-805.0,2093.5714285714284,-1425.2941176470588,1.4688697600377336,-9340.0,-9.34,0.5438972162740899,20,7,4,-4095.0,,,55.50253676470589,23.612903225806452,10.0,10.9247311827957
