candidate_id,exp027_cohort,family_id,candidate_role,segment,completed_trades_backward_adjusted,net_profit_usd_backward_adjusted,trade_profit_factor_backward_adjusted,maximum_drawdown_usd_backward_adjusted,win_rate_backward_adjusted,completed_trades_unadjusted,net_profit_usd_unadjusted,trade_profit_factor_unadjusted,maximum_drawdown_usd_unadjusted,win_rate_unadjusted,completed_trades_difference,net_profit_usd_difference,trade_profit_factor_difference,maximum_drawdown_usd_difference,win_rate_difference
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,48,-4055.0,0.908008166969147,-16090.0,0.4375,49,-7360.0,0.8446765854173262,-19395.0,0.42857142857142855,1,-3305.0,-0.06333158155182084,-3305.0,-0.008928571428571452
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,24,-15.0,0.9993364299933643,-9640.0,0.4166666666666667,24,-15.0,0.9993364299933643,-9640.0,0.4166666666666667,0,0.0,0.0,0.0,0.0
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,24,-4040.0,0.8118742724097788,-11635.0,0.4583333333333333,25,-7345.0,0.703591606133979,-14940.0,0.44,1,-3305.0,-0.10828266627579985,-3305.0,-0.018333333333333313
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,48,-11580.0,0.7796803652968036,-24490.0,0.3541666666666667,49,-14885.0,0.7335541036427101,-27795.0,0.3469387755102041,1,-3305.0,-0.0461262616540935,-3305.0,-0.007227891156462607
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,24,-16440.0,0.4254761488729687,-19070.0,0.2916666666666667,24,-16440.0,0.4254761488729687,-19070.0,0.2916666666666667,0,0.0,0.0,0.0,0.0
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,24,4860.0,1.2029651284192941,-11635.0,0.4166666666666667,25,1555.0,1.0570642201834863,-14940.0,0.4,1,-3305.0,-0.1459009082358078,-3305.0,-0.016666666666666663
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,31,5080.0,1.2096574494428394,-9340.0,0.45161290322580644,31,5080.0,1.2096574494428394,-9340.0,0.45161290322580644,0,0.0,0.0,0.0,0.0
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,14,4055.0,1.3529155787641427,-7710.0,0.42857142857142855,14,4055.0,1.3529155787641427,-7710.0,0.42857142857142855,0,0.0,0.0,0.0,0.0
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,17,1025.0,1.0804552590266876,-4560.0,0.47058823529411764,17,1025.0,1.0804552590266876,-4560.0,0.47058823529411764,0,0.0,0.0,0.0,0.0
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,31,3470.0,1.1091366567070293,-13440.0,0.3548387096774194,31,3470.0,1.1091366567070293,-13440.0,0.3548387096774194,0,0.0,0.0,0.0,0.0
