series_id,experiment_id,candidate_id,family_id,exp027_cohort,market,session_date,net_pnl_usd,cumulative_net_pnl_usd,equity_usd,drawdown_usd,drawdown_percent,had_trade
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-02,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-05,-1660.0,-1660.0,98340.0,-1660.0,-1.66,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-06,0.0,-1660.0,98340.0,-1660.0,-1.66,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-07,0.0,-1660.0,98340.0,-1660.0,-1.66,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-08,0.0,-1660.0,98340.0,-1660.0,-1.66,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-09,0.0,-1660.0,98340.0,-1660.0,-1.66,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-12,2230.0,570.0,100570.0,0.0,0.0,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-13,0.0,570.0,100570.0,0.0,0.0,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-14,-2240.0,-1670.0,98330.0,-2240.0,-2.227304365118823,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-15,-1165.0,-2835.0,97165.0,-3405.0,-3.385701501441782,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-16,490.0,-2345.0,97655.0,-2915.0,-2.8984786715720396,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-19,0.0,-2345.0,97655.0,-2915.0,-2.8984786715720396,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-20,0.0,-2345.0,97655.0,-2915.0,-2.8984786715720396,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-21,0.0,-2345.0,97655.0,-2915.0,-2.8984786715720396,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-22,1295.0,-1050.0,98950.0,-1620.0,-1.61081833548772,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-23,0.0,-1050.0,98950.0,-1620.0,-1.61081833548772,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-26,0.0,-1050.0,98950.0,-1620.0,-1.61081833548772,False
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-27,-1025.0,-2075.0,97925.0,-2645.0,-2.6300089489907528,True
EXP-027:gap_fade_0p25_1r:NQ,EXP-027,gap_fade_0p25_1r,gap_fade,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-28,-805.0,-2880.0,97120.0,-3450.0,-3.4304464552053298,True
