series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,1,2026-01-12,long,2026-01-12T14:35:00+00:00,2026-01-12T16:57:00+00:00,142.0,26344.75,26457.0,2245.0,15.0,2230.0,112.25,2245.0,1,profit_target,,,,1
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,2,2026-01-14,long,2026-01-14T14:35:00+00:00,2026-01-14T14:41:00+00:00,6.0,26268.5,26157.25,-2225.0,15.0,-2240.0,111.25,2225.0,1,protective_stop,,,,2
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,3,2026-01-15,short,2026-01-15T14:35:00+00:00,2026-01-15T14:45:00+00:00,10.0,26377.75,26435.25,-1150.0,15.0,-1165.0,57.5,1150.0,1,protective_stop,,,,3
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,4,2026-01-16,short,2026-01-16T14:35:00+00:00,2026-01-16T14:41:00+00:00,6.0,26354.75,26329.5,505.0,15.0,490.0,25.25,505.0,1,profit_target,,,,4
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,5,2026-01-27,short,2026-01-27T14:35:00+00:00,2026-01-27T14:53:00+00:00,18.0,26451.0,26501.5,-1010.0,15.0,-1025.0,50.5,1010.0,1,protective_stop,,,,5
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,6,2026-01-28,short,2026-01-28T14:35:00+00:00,2026-01-28T14:44:00+00:00,9.0,26737.5,26777.0,-790.0,15.0,-805.0,39.5,790.0,1,protective_stop,,,,6
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,7,2026-02-11,short,2026-02-11T14:35:00+00:00,2026-02-11T14:57:00+00:00,22.0,25875.5,25796.75,1575.0,15.0,1560.0,78.75,1575.0,1,profit_target,,,,7
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,8,2026-02-20,long,2026-02-20T14:35:00+00:00,2026-02-20T14:42:00+00:00,7.0,25292.75,25418.0,2505.0,15.0,2490.0,125.25,2505.0,1,profit_target,,,,8
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,9,2026-02-27,long,2026-02-27T14:35:00+00:00,2026-02-27T14:43:00+00:00,8.0,25370.25,25294.0,-1525.0,15.0,-1540.0,76.25,1525.0,1,protective_stop,,,,9
EXP-027:gap_fade_0p50_1r:NQ,EXP-027,gap_fade_0p50_1r,gap_fade,NQ,10,2026-03-02,long,2026-03-02T14:35:00+00:00,2026-03-02T17:16:00+00:00,161.0,25323.0,25552.0,4580.0,15.0,4565.0,229.0,4580.0,1,profit_target,,,,10
