series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,1,2026-01-15,short,2026-01-15T14:35:00+00:00,2026-01-15T14:45:00+00:00,10.0,26377.75,26435.25,-1150.0,15.0,-1165.0,57.5,1150.0,1,protective_stop,,,,1
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,2,2026-01-28,short,2026-01-28T14:35:00+00:00,2026-01-28T14:44:00+00:00,9.0,26737.5,26777.0,-790.0,15.0,-805.0,39.5,790.0,1,protective_stop,,,,2
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,3,2026-02-11,short,2026-02-11T14:35:00+00:00,2026-02-11T15:11:00+00:00,36.0,25875.5,25708.75,3335.0,15.0,3320.0,78.75,1575.0,1,profit_target,,,,3
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,4,2026-03-02,long,2026-03-02T14:35:00+00:00,2026-03-02T16:41:00+00:00,126.0,25323.0,25487.25,3285.0,15.0,3270.0,229.0,4580.0,1,profit_target,,,,4
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,5,2026-03-06,long,2026-03-06T14:35:00+00:00,2026-03-06T14:35:00+00:00,0.0,25195.25,25142.5,-1055.0,15.0,-1070.0,52.75,1055.0,1,protective_stop,,,,5
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,6,2026-04-02,long,2026-04-02T13:35:00+00:00,2026-04-02T13:35:00+00:00,0.0,24068.5,24043.25,-505.0,15.0,-520.0,25.25,505.0,1,protective_stop,,,,6
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,7,2026-04-08,short,2026-04-08T13:35:00+00:00,2026-04-08T19:55:00+00:00,380.0,25443.25,25319.0,2485.0,15.0,2470.0,87.0,1740.0,1,forced_flat_1315,,,,7
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,8,2026-06-04,long,2026-06-04T13:35:00+00:00,2026-06-04T13:45:00+00:00,10.0,30624.0,30490.5,-2670.0,15.0,-2685.0,133.5,2670.0,1,protective_stop,,,,8
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,9,2026-06-05,long,2026-06-05T13:35:00+00:00,2026-06-05T13:36:00+00:00,1.0,30325.0,30279.25,-915.0,15.0,-930.0,45.75,915.0,1,protective_stop,,,,9
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,10,2026-06-18,short,2026-06-18T13:35:00+00:00,2026-06-18T14:23:00+00:00,48.0,30486.25,30615.5,-2585.0,15.0,-2600.0,129.25,2585.0,1,protective_stop,,,,10
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,11,2026-06-23,long,2026-06-23T13:35:00+00:00,2026-06-23T18:45:00+00:00,310.0,29767.25,29616.5,-3015.0,15.0,-3030.0,150.75,3015.0,1,protective_stop,,,,11
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,12,2026-06-25,short,2026-06-25T13:35:00+00:00,2026-06-25T13:52:00+00:00,17.0,30057.75,29514.0,10875.0,15.0,10860.0,135.25,2705.0,1,profit_target,,,,12
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,13,2026-07-14,short,2026-07-14T13:35:00+00:00,2026-07-14T14:34:00+00:00,59.0,29693.0,29815.75,-2455.0,15.0,-2470.0,122.75,2455.0,1,protective_stop,,,,13
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,14,2026-07-21,short,2026-07-21T13:35:00+00:00,2026-07-21T14:45:00+00:00,70.0,29147.0,29246.25,-1985.0,15.0,-2000.0,99.25,1985.0,1,protective_stop,,,,14
EXP-027:gap_fade_0p75_prior_close:NQ,EXP-027,gap_fade_0p75_prior_close,gap_fade,NQ,15,2026-07-23,long,2026-07-23T13:35:00+00:00,2026-07-23T14:33:00+00:00,58.0,28759.5,28657.0,-2050.0,15.0,-2065.0,102.5,2050.0,1,protective_stop,,,,15
