series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,1,2026-01-06,long,2026-01-06T15:00:00+00:00,2026-01-06T20:55:00+00:00,355.0,26242.0,26320.75,1575.0,15.0,1560.0,145.0,2900.0,1,forced_flat_1315,,,,1
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,2,2026-01-08,short,2026-01-08T15:00:00+00:00,2026-01-08T20:55:00+00:00,355.0,26092.75,26180.25,-1750.0,15.0,-1765.0,199.25,3985.0,1,forced_flat_1315,,,,2
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,3,2026-01-12,long,2026-01-12T15:00:00+00:00,2026-01-12T20:55:00+00:00,355.0,26390.25,26462.75,1450.0,15.0,1435.0,157.75,3155.0,1,forced_flat_1315,,,,3
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,4,2026-01-16,short,2026-01-16T15:00:00+00:00,2026-01-16T20:55:00+00:00,355.0,26218.0,26202.0,320.0,15.0,305.0,162.0,3240.0,1,forced_flat_1315,,,,4
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,5,2026-01-22,short,2026-01-22T15:00:00+00:00,2026-01-22T20:55:00+00:00,355.0,26071.0,26135.75,-1295.0,15.0,-1310.0,149.75,2995.0,1,forced_flat_1315,,,,5
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,6,2026-01-29,short,2026-01-29T15:00:00+00:00,2026-01-29T20:55:00+00:00,355.0,26353.5,26473.25,-2395.0,15.0,-2410.0,310.5,6210.0,1,forced_flat_1315,,,,6
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,7,2026-02-02,long,2026-02-02T15:00:00+00:00,2026-02-02T20:55:00+00:00,355.0,26235.75,26337.0,2025.0,15.0,2010.0,207.0,4140.0,1,forced_flat_1315,,,,7
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,8,2026-02-03,short,2026-02-03T15:00:00+00:00,2026-02-03T20:55:00+00:00,355.0,26121.75,25913.0,4175.0,15.0,4160.0,319.5,6390.0,1,forced_flat_1315,,,,8
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,9,2026-02-04,short,2026-02-04T15:00:00+00:00,2026-02-04T17:27:00+00:00,147.0,25683.25,25389.625,5872.5,15.0,5857.5,195.75,3915.0,1,profit_target,,,,9
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,10,2026-02-25,long,2026-02-25T15:00:00+00:00,2026-02-25T20:55:00+00:00,355.0,25832.0,25876.5,890.0,15.0,875.0,186.25,3725.0,1,forced_flat_1315,,,,10
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,11,2026-02-26,short,2026-02-26T15:00:00+00:00,2026-02-26T15:18:00+00:00,18.0,25682.5,25459.75,4455.0,15.0,4440.0,148.5,2970.0,1,profit_target,,,,11
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,12,2026-03-05,long,2026-03-05T15:00:00+00:00,2026-03-05T15:30:00+00:00,30.0,25674.25,25474.25,-4000.0,15.0,-4015.0,200.0,4000.0,1,protective_stop,,,,12
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,13,2026-03-20,short,2026-03-20T14:00:00+00:00,2026-03-20T19:38:00+00:00,338.0,24566.25,24258.0,6165.0,15.0,6150.0,205.5,4110.0,1,profit_target,,,,13
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,14,2026-03-27,short,2026-03-27T14:00:00+00:00,2026-03-27T19:55:00+00:00,355.0,23761.5,23589.25,3445.0,15.0,3430.0,183.0,3660.0,1,forced_flat_1315,,,,14
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,15,2026-03-30,short,2026-03-30T14:00:00+00:00,2026-03-30T19:55:00+00:00,355.0,23583.0,23415.75,3345.0,15.0,3330.0,235.75,4715.0,1,forced_flat_1315,,,,15
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,16,2026-03-31,long,2026-03-31T14:00:00+00:00,2026-03-31T14:56:00+00:00,56.0,23849.5,23659.25,-3805.0,15.0,-3820.0,190.25,3805.0,1,protective_stop,,,,16
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,17,2026-04-06,long,2026-04-06T14:00:00+00:00,2026-04-06T17:12:00+00:00,192.0,24691.5,24526.25,-3305.0,15.0,-3320.0,165.25,3305.0,1,protective_stop,,,,17
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,18,2026-04-30,short,2026-04-30T14:00:00+00:00,2026-04-30T17:30:00+00:00,210.0,27527.75,27772.0,-4885.0,15.0,-4900.0,244.25,4885.0,1,protective_stop,,,,18
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,19,2026-05-01,long,2026-05-01T14:00:00+00:00,2026-05-01T19:55:00+00:00,355.0,28154.0,28126.5,-550.0,15.0,-565.0,255.75,5115.0,1,forced_flat_1315,,,,19
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,20,2026-05-08,long,2026-05-08T14:00:00+00:00,2026-05-08T19:55:00+00:00,355.0,29387.0,29608.0,4420.0,15.0,4405.0,247.0,4940.0,1,forced_flat_1315,,,,20
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,21,2026-05-29,long,2026-05-29T14:00:00+00:00,2026-05-29T14:26:00+00:00,26.0,30798.5,30645.25,-3065.0,15.0,-3080.0,153.25,3065.0,1,protective_stop,,,,21
EXP-027:opening_drive_0p75_1p5r:NQ,EXP-027,opening_drive_0p75_1p5r,opening_drive_continuation,NQ,22,2026-06-05,short,2026-06-05T14:00:00+00:00,2026-06-05T18:15:00+00:00,255.0,30054.75,29565.375,9787.5,15.0,9772.5,326.25,6525.0,1,profit_target,,,,22
