series_id,experiment_id,market,session_date,net_pnl_usd,cumulative_net_pnl_usd,equity_usd,drawdown_usd,drawdown_percent,had_trade
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-02,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-05,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-06,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-07,1515.0,1515.0,101515.0,0.0,0.0,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-08,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-09,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-12,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-13,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-14,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-15,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-16,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-19,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-20,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-21,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-22,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-23,0.0,1515.0,101515.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-26,1950.0,3465.0,103465.0,0.0,0.0,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-27,-1025.0,2440.0,102440.0,-1025.0,-0.9906731745034554,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-28,0.0,2440.0,102440.0,-1025.0,-0.9906731745034554,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-29,2295.0,4735.0,104735.0,0.0,0.0,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-01-30,0.0,4735.0,104735.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-02,2970.0,7705.0,107705.0,0.0,0.0,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-03,2280.0,9985.0,109985.0,0.0,0.0,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-04,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-05,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-06,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-09,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-10,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-11,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-12,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-13,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-16,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-17,0.0,9985.0,109985.0,0.0,0.0,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-18,-1310.0,8675.0,108675.0,-1310.0,-1.1910715097513296,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-19,0.0,8675.0,108675.0,-1310.0,-1.1910715097513296,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-20,0.0,8675.0,108675.0,-1310.0,-1.1910715097513296,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-23,-685.0,7990.0,107990.0,-1995.0,-1.813883711415193,True
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-24,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-25,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-26,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-02-27,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-02,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-03,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-04,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-05,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-06,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
EXP-027:premarket_continuation_0p50_1p5r:NQ,EXP-027,NQ,2026-03-09,0.0,7990.0,107990.0,-1995.0,-1.813883711415193,False
