series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,1,2026-01-07,long,2026-01-07T14:35:00+00:00,2026-01-07T15:35:00+00:00,60.0,26311.0,26387.5,1530.0,15.0,1515.0,51.0,1020.0,1,profit_target,,,,1
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,2,2026-01-26,long,2026-01-26T14:35:00+00:00,2026-01-26T15:19:00+00:00,44.0,26258.75,26357.0,1965.0,15.0,1950.0,65.5,1310.0,1,profit_target,,,,2
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,3,2026-02-03,short,2026-02-03T14:35:00+00:00,2026-02-03T14:43:00+00:00,8.0,26364.75,26250.0,2295.0,15.0,2280.0,76.5,1530.0,1,profit_target,,,,3
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,4,2026-02-18,short,2026-02-18T14:35:00+00:00,2026-02-18T14:38:00+00:00,3.0,25258.0,25322.75,-1295.0,15.0,-1310.0,64.75,1295.0,1,protective_stop,,,,4
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,5,2026-02-23,long,2026-02-23T14:35:00+00:00,2026-02-23T14:36:00+00:00,1.0,25493.0,25459.5,-670.0,15.0,-685.0,33.5,670.0,1,protective_stop,,,,5
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,6,2026-03-17,long,2026-03-17T13:35:00+00:00,2026-03-17T15:36:00+00:00,121.0,25337.75,25244.5,-1865.0,15.0,-1880.0,93.25,1865.0,1,protective_stop,,,,6
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,7,2026-03-19,short,2026-03-19T13:35:00+00:00,2026-03-19T13:41:00+00:00,6.0,24637.5,24709.75,-1445.0,15.0,-1460.0,72.25,1445.0,1,protective_stop,,,,7
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,8,2026-04-02,long,2026-04-02T13:35:00+00:00,2026-04-02T13:35:00+00:00,0.0,24068.5,24043.25,-505.0,15.0,-520.0,25.25,505.0,1,protective_stop,,,,8
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,9,2026-04-13,long,2026-04-13T13:35:00+00:00,2026-04-13T13:36:00+00:00,1.0,25502.25,25477.0,-505.0,15.0,-520.0,25.25,505.0,1,protective_stop,,,,9
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,10,2026-04-20,long,2026-04-20T13:35:00+00:00,2026-04-20T13:39:00+00:00,4.0,27091.0,27028.5,-1250.0,15.0,-1265.0,62.5,1250.0,1,protective_stop,,,,10
EXP-027:premarket_continuation_0p625_1p5r:NQ,EXP-027,premarket_continuation_0p625_1p5r,premarket_momentum_continuation,NQ,11,2026-04-21,short,2026-04-21T13:35:00+00:00,2026-04-21T13:58:00+00:00,23.0,27040.25,27107.0,-1335.0,15.0,-1350.0,66.75,1335.0,1,protective_stop,,,,11
