candidate_id,exp027_cohort,completed_trades,minimum_trade_usd,q05_trade_usd,median_trade_usd,q95_trade_usd,maximum_trade_usd,top_1_winner_share,top_5_winner_share,top_10_winner_share
gap_fade_0p25_prior_close,SECONDARY_MEASUREMENT_CONTEXT,48,-3330.0,-2909.25,-997.5,3302.5,10860.0,0.26500732064421667,0.5841874084919473,0.8722547584187409
gap_fade_0p25_1r,SECONDARY_MEASUREMENT_CONTEXT,48,-3330.0,-2655.25,-807.5,2836.2499999999995,4565.0,0.11405371642723298,0.39125546533416616,0.6654590880699562
gap_fade_0p50_prior_close,SECONDARY_MEASUREMENT_CONTEXT,31,-3030.0,-2642.5,-970.0,3325.0,10860.0,0.3079540621012335,0.678860059549128,0.9960300581312916
gap_fade_0p50_1r,SECONDARY_MEASUREMENT_CONTEXT,31,-2685.0,-2420.0,-805.0,2957.5,4565.0,0.15574889116342544,0.534288638689867,0.8751279426816786
gap_fade_0p75_prior_close,SECONDARY_MEASUREMENT_CONTEXT,15,-3030.0,-2788.5,-1070.0,5581.999999999992,10860.0,0.5451807228915663,1.0,1.0
gap_fade_0p75_1r,PRIMARY_CONFIRMATION_COHORT,15,-2685.0,-2625.5,-520.0,3469.499999999998,4565.0,0.2533999444907022,0.8176519567027477,1.0
premarket_continuation_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,25,-2870.0,-2526.0,-1025.0,3779.9999999999945,9020.0,0.41691703258608737,0.900855095909406,1.0
premarket_continuation_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,25,-2870.0,-2526.0,-1025.0,2834.999999999998,3547.5,0.2192860454334724,0.8062123319425127,1.0
premarket_continuation_0p625_time,SECONDARY_MEASUREMENT_CONTEXT,18,-2870.0,-2674.5,-1287.5,3201.74999999999,9020.0,0.6761619190404797,1.0,1.0
premarket_continuation_0p625_1p5r,SECONDARY_MEASUREMENT_CONTEXT,18,-2870.0,-2674.5,-1287.5,2470.124999999998,3547.5,0.3817594834543987,1.0,1.0
premarket_continuation_0p75_time,SECONDARY_MEASUREMENT_CONTEXT,9,-2640.0,-2336.0,-1265.0,-520.0,-520.0,,,
premarket_continuation_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,9,-2640.0,-2336.0,-1265.0,-520.0,-520.0,,,
premarket_continuation_0p875_time,SECONDARY_MEASUREMENT_CONTEXT,0,,,,,,,,
premarket_continuation_0p875_1p5r,PRIMARY_CONFIRMATION_COHORT,0,,,,,,,,
opening_drive_0p25_time,SECONDARY_MEASUREMENT_CONTEXT,106,-7550.0,-4967.5,-450.0,5471.25,12875.0,0.08118674527855724,0.2969700791373711,0.44748872844216037
opening_drive_0p25_1p5r,SECONDARY_MEASUREMENT_CONTEXT,106,-7550.0,-4967.5,72.5,5446.875,9772.5,0.060128285982372215,0.2105643660303641,0.36543046561351156
opening_drive_0p50_time,SECONDARY_MEASUREMENT_CONTEXT,69,-7550.0,-4972.0,-325.0,5345.999999999995,12875.0,0.12549344509966373,0.3694137141186218,0.577562259369365
opening_drive_0p50_1p5r,SECONDARY_MEASUREMENT_CONTEXT,69,-7550.0,-4972.0,305.0,5862.0,9772.5,0.08850900033963546,0.309951318917695,0.5248952790671346
opening_drive_0p75_time,PRIMARY_CONFIRMATION_COHORT,27,-7550.0,-4634.5,305.0,4405.0,12875.0,0.2614213197969543,0.6078172588832488,0.915228426395939
opening_drive_0p75_1p5r,SECONDARY_MEASUREMENT_CONTEXT,27,-7550.0,-4634.5,305.0,6062.25,9772.5,0.1885854882284832,0.5909880355075261,0.9194326514859128
opening_drive_1p00_time,SECONDARY_MEASUREMENT_CONTEXT,0,,,,,,,,
opening_drive_1p00_1p5r,SECONDARY_MEASUREMENT_CONTEXT,0,,,,,,,,
orb_control_exp005_15m_both_time,FIXED_CONTROL,139,-7445.0,-4609.0,-565.0,5419.499999999999,14540.0,0.07906040998314393,0.23269534011201132,0.3786362894894242
orb_control_exp007_30m_long_1r,FIXED_CONTROL,90,-8915.0,-4072.0,640.0,3412.75,6180.0,0.058795547521643995,0.20878127675768243,0.3615735895728285
